Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,valueSchemaMustBePresentForPkModeRecordValue,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`Collections.emptyList()`SIMPLE_PRIMITIVE_SCHEMA`null)).isInstanceOf(ConnectException.class);" is 168.,43
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,valueSchemaMustBeStructIfPresent,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.KAFKA`Collections.emptyList()`SIMPLE_PRIMITIVE_SCHEMA`SIMPLE_PRIMITIVE_SCHEMA)).isInstanceOf(ConnectException.class);" is 180.,54
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,missingValueSchemaCanBeOk,Long Statement,The length of the statement "assertThat(extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`Collections.emptyList()`SIMPLE_STRUCT_SCHEMA`null).allFields.keySet()).isEqualTo(Set.of("name"));" is 157.,65
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,missingValueSchemaCanBeOk,Long Statement,The length of the statement "assertThat(Lists.newArrayList(extract(JdbcSinkConfig.PrimaryKeyMode.KAFKA`Collections.emptyList()`null`null).allFields.keySet())).isEqualTo(List.of("__connect_topic"`"__connect_partition"`"__connect_offset"));" is 209.,65
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,metadataMayNotBeEmpty,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.NONE`Collections.emptyList()`null`null)).isInstanceOf(ConnectException.class);" is 141.,84
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkMode,Long Statement,The length of the statement "final FieldsMetadata metadata=extract(JdbcSinkConfig.PrimaryKeyMode.KAFKA`Collections.emptyList()`null`SIMPLE_STRUCT_SCHEMA);" is 125.,95
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkMode,Long Statement,The length of the statement "assertThat(Lists.newArrayList(metadata.keyFieldNames)).isEqualTo(List.of("__connect_topic"`"__connect_partition"`"__connect_offset"));" is 134.,95
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,kafkaPkModeBadFieldSpec,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.KAFKA`List.of("lone")`null`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 150.,136
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModePrimitiveKey,Long Statement,The length of the statement "final FieldsMetadata metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`List.of("the_pk")`SIMPLE_PRIMITIVE_SCHEMA`SIMPLE_STRUCT_SCHEMA);" is 143.,147
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeWithPrimitiveKeyButMultiplePkFieldsSpecified,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`List.of("pk1"`"pk2")`SIMPLE_PRIMITIVE_SCHEMA`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 179.,174
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeButKeySchemaMissing,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`Collections.emptyList()`null`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 163.,185
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeButKeySchemaAsNonStructCompositeType,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`Collections.emptyList()`SIMPLE_MAP_SCHEMA`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 176.,196
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordKeyPkModeWithStructKeyButMissingField,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`Collections.singletonList("nonexistent")`SIMPLE_STRUCT_SCHEMA`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 196.,207
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithMissingPkField,Long Statement,The length of the statement "assertThatThrownBy(() -> extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`List.of("nonexistent")`SIMPLE_PRIMITIVE_SCHEMA`SIMPLE_STRUCT_SCHEMA)).isInstanceOf(ConnectException.class);" is 183.,218
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithValidPkFields,Long Statement,The length of the statement "final FieldsMetadata metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`Collections.singletonList("name")`SIMPLE_PRIMITIVE_SCHEMA`SIMPLE_STRUCT_SCHEMA);" is 161.,229
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithPkFieldsAndWhitelistFiltering,Long Statement,The length of the statement "final Schema valueSchema=SchemaBuilder.struct().field("field1"`Schema.INT64_SCHEMA).field("field2"`Schema.INT64_SCHEMA).field("field3"`Schema.INT64_SCHEMA).field("field4"`Schema.INT64_SCHEMA).build();" is 200.,246
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithPkFieldsAndWhitelistFiltering,Long Statement,The length of the statement "final FieldsMetadata metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`Collections.singletonList("field1")`Set.of("field2"`"field4")`null`valueSchema);" is 161.,246
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithFieldsInOriginalOrdering,Long Statement,The length of the statement "final Schema valueSchema=SchemaBuilder.struct().field("field4"`Schema.INT64_SCHEMA).field("field2"`Schema.INT64_SCHEMA).field("field1"`Schema.INT64_SCHEMA).field("field3"`Schema.INT64_SCHEMA).build();" is 200.,268
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithFieldsInOriginalOrdering,Long Statement,The length of the statement "var metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`Collections.singletonList("field4")`Set.of("field3"`"field1"`"field2")`null`valueSchema);" is 153.,268
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithFieldsInOriginalOrdering,Long Statement,The length of the statement "metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`Collections.singletonList("field1")`Set.of("field4"`"field3")`null`valueSchema);" is 140.,268
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithFieldsInOriginalOrdering,Long Statement,The length of the statement "final var keySchema=SchemaBuilder.struct().field("field1"`Schema.INT64_SCHEMA).field("field3"`Schema.INT64_SCHEMA).field("field2"`Schema.INT64_SCHEMA).build();" is 159.,268
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,recordValuePkModeWithFieldsInOriginalOrdering,Long Statement,The length of the statement "metadata=extract(JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`List.of("field2"`"field3"`"field1")`Set.of("field3"`"field1")`keySchema`null);" is 136.,268
sink,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,extract,Long Parameter List,The method has 5 parameters. ,324
