Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,validateNonNullable,Long Statement,The length of the statement "if ((incrementalMode.equals(JdbcSourceConnectorConfig.MODE_INCREMENTING) || incrementalMode.equals(JdbcSourceConnectorConfig.MODE_TIMESTAMP_INCREMENTING)) && incrementingOptional) {" is 181.,380
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,validateNonNullable,Long Statement,The length of the statement "throw new ConnectException("Cannot make incremental queries using incrementing column " + incrementingColumn + " on "+ table+ " because this column "+ "is nullable.");" is 167.,380
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,validateNonNullable,Long Statement,The length of the statement "if ((incrementalMode.equals(JdbcSourceConnectorConfig.MODE_TIMESTAMP) || incrementalMode.equals(JdbcSourceConnectorConfig.MODE_TIMESTAMP_INCREMENTING)) && !atLeastOneTimestampNotOptional) {" is 189.,380
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,validateNonNullable,Long Statement,The length of the statement "throw new ConnectException("Cannot make incremental queries using timestamp columns " + timestampColumns + " on "+ table+ " because all of these "+ "columns "+ "nullable.");" is 173.,380
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,TimestampIncrementingTableQuerier,Long Parameter List,The method has 11 parameters. ,80
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,TimestampIncrementingTableQuerier,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@533af6e2,80
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,createPreparedStatement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2bf2caad,125
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,findDefaultAutoIncrementingColumn,Long Statement,The length of the statement "for ( final ColumnDefinition defn : dialect.describeColumns(db`tableId.catalogName()`tableId.schemaName()`tableId.tableName()`null).values()) {" is 143.,157
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,endTimestampValue,Long Statement,The length of the statement "final long currentDbTime=dialect.currentTimeOnDB(stmt.getConnection()`DateTimeUtils.getTimeZoneCalendar(timeZone)).getTime();" is 125.,218
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,toString,Long Statement,The length of the statement "return "TimestampIncrementingTableQuerier{" + "table=" + tableId + "` query='"+ query+ '\''+ "` topicPrefix='"+ topicPrefix+ '\''+ "` incrementingColumn='"+ (incrementingColumnName != null ? incrementingColumnName : "")+ '\''+ "` timestampColumns="+ timestampColumnNames+ '}';" is 276.,237
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfig,validate,Complex Conditional,The conditional expression tables.isEmpty() && query.isEmpty() || !tables.isEmpty() && !query.isEmpty() is complex.,47
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfig,validate,Long Statement,The length of the statement "throw new org.apache.kafka.connect.errors.ConnectException("Invalid configuration: each JdbcSourceTask must have at " + "least one table assigned to it or one query specified");" is 177.,47
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addDatabaseOptions,Long Identifier,The length of the field NUMERIC_PRECISION_MAPPING_CONFIG is 32.,284
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addDatabaseOptions,Long Identifier,The length of the field NUMERIC_PRECISION_MAPPING_DEFAULT is 33.,284
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addDatabaseOptions,Long Identifier,The length of the field NUMERIC_PRECISION_MAPPING_DISPLAY is 33.,284
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addDatabaseOptions,Long Statement,The length of the statement "config.define(CONNECTION_ATTEMPTS_CONFIG`Type.INT`CONNECTION_ATTEMPTS_DEFAULT`Importance.LOW`CONNECTION_ATTEMPTS_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`CONNECTION_ATTEMPTS_DISPLAY).define(CONNECTION_BACKOFF_CONFIG`Type.LONG`CONNECTION_BACKOFF_DEFAULT`Importance.LOW`CONNECTION_BACKOFF_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`CONNECTION_BACKOFF_DISPLAY).define(TABLE_WHITELIST_CONFIG`Type.LIST`TABLE_WHITELIST_DEFAULT`Importance.MEDIUM`TABLE_WHITELIST_DOC`DATABASE_GROUP`++orderInGroup`Width.LONG`TABLE_WHITELIST_DISPLAY`TABLE_RECOMMENDER).define(TABLE_BLACKLIST_CONFIG`Type.LIST`TABLE_BLACKLIST_DEFAULT`Importance.MEDIUM`TABLE_BLACKLIST_DOC`DATABASE_GROUP`++orderInGroup`Width.LONG`TABLE_BLACKLIST_DISPLAY`TABLE_RECOMMENDER).define(CATALOG_PATTERN_CONFIG`Type.STRING`CATALOG_PATTERN_DEFAULT`Importance.MEDIUM`CATALOG_PATTERN_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`CATALOG_PATTERN_DISPLAY).define(SCHEMA_PATTERN_CONFIG`Type.STRING`SCHEMA_PATTERN_DEFAULT`Importance.MEDIUM`SCHEMA_PATTERN_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`SCHEMA_PATTERN_DISPLAY).define(NUMERIC_PRECISION_MAPPING_CONFIG`Type.BOOLEAN`NUMERIC_PRECISION_MAPPING_DEFAULT`Importance.LOW`NUMERIC_PRECISION_MAPPING_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`NUMERIC_PRECISION_MAPPING_DISPLAY).define(NUMERIC_MAPPING_CONFIG`Type.STRING`NUMERIC_MAPPING_DEFAULT`NUMERIC_MAPPING_RECOMMENDER`Importance.LOW`NUMERIC_MAPPING_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`NUMERIC_MAPPING_DISPLAY`NUMERIC_MAPPING_RECOMMENDER).define(TABLE_NAMES_QUALIFY_CONFIG`Type.BOOLEAN`TABLE_NAMES_QUALIFY_DEFAULT`Importance.LOW`TABLE_NAMES_QUALIFY_DOC`DATABASE_GROUP`++orderInGroup`Width.SHORT`TABLE_NAMES_QUALIFY_DISPLAY);" is 1694.,284
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_COLUMN_NAME_CONFIG is 31.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_INITIAL_VALUE_CONFIG is 33.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_COLUMN_NAME_DEFAULT is 32.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_COLUMN_NAME_DISPLAY is 32.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_INITIAL_VALUE_DEFAULT is 34.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_INITIAL_VALUE_DOC is 30.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Identifier,The length of the field INCREMENTING_INITIAL_VALUE_DISPLAY is 34.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addModeOptions,Long Statement,The length of the statement "config.define(MODE_CONFIG`Type.STRING`ConfigDef.NO_DEFAULT_VALUE`ConfigDef.ValidString.in(MODE_BULK`MODE_TIMESTAMP`MODE_INCREMENTING`MODE_TIMESTAMP_INCREMENTING)`Importance.HIGH`MODE_DOC`MODE_GROUP`++orderInGroup`Width.MEDIUM`MODE_DISPLAY`Arrays.asList(INCREMENTING_COLUMN_NAME_CONFIG`TIMESTAMP_COLUMN_NAME_CONFIG`VALIDATE_NON_NULL_CONFIG`TIMESTAMP_INITIAL_MS_CONFIG`INCREMENTING_INITIAL_VALUE_CONFIG)).define(INCREMENTING_COLUMN_NAME_CONFIG`Type.STRING`INCREMENTING_COLUMN_NAME_DEFAULT`Importance.MEDIUM`INCREMENTING_COLUMN_NAME_DOC`MODE_GROUP`++orderInGroup`Width.MEDIUM`INCREMENTING_COLUMN_NAME_DISPLAY`MODE_DEPENDENTS_RECOMMENDER).define(TIMESTAMP_COLUMN_NAME_CONFIG`Type.LIST`TIMESTAMP_COLUMN_NAME_DEFAULT`Importance.MEDIUM`TIMESTAMP_COLUMN_NAME_DOC`MODE_GROUP`++orderInGroup`Width.MEDIUM`TIMESTAMP_COLUMN_NAME_DISPLAY`MODE_DEPENDENTS_RECOMMENDER).define(VALIDATE_NON_NULL_CONFIG`Type.BOOLEAN`VALIDATE_NON_NULL_DEFAULT`Importance.LOW`VALIDATE_NON_NULL_DOC`MODE_GROUP`++orderInGroup`Width.SHORT`VALIDATE_NON_NULL_DISPLAY`MODE_DEPENDENTS_RECOMMENDER).define(QUERY_CONFIG`Type.STRING`QUERY_DEFAULT`Importance.MEDIUM`QUERY_DOC`MODE_GROUP`++orderInGroup`Width.SHORT`QUERY_DISPLAY).define(TIMESTAMP_INITIAL_MS_CONFIG`Type.LONG`TIMESTAMP_INITIAL_MS_DEFAULT`Importance.MEDIUM`TIMESTAMP_INITIAL_MS_DOC`MODE_GROUP`++orderInGroup`Width.MEDIUM`TIMESTAMP_INITIAL_MS_DISPLAY).define(INCREMENTING_INITIAL_VALUE_CONFIG`Type.LONG`INCREMENTING_INITIAL_VALUE_DEFAULT`Importance.MEDIUM`INCREMENTING_INITIAL_VALUE_DOC`MODE_GROUP`++orderInGroup`Width.MEDIUM`INCREMENTING_INITIAL_VALUE_DISPLAY);" is 1577.,392
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TABLE_POLL_INTERVAL_MS_DEFAULT is 30.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TABLE_POLL_INTERVAL_MS_DISPLAY is 30.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TIMESTAMP_DELAY_INTERVAL_MS_CONFIG is 34.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TIMESTAMP_DELAY_INTERVAL_MS_DEFAULT is 35.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TIMESTAMP_DELAY_INTERVAL_MS_DOC is 31.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Identifier,The length of the field TIMESTAMP_DELAY_INTERVAL_MS_DISPLAY is 35.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,addConnectorOptions,Long Statement,The length of the statement "config.define(TABLE_TYPE_CONFIG`Type.LIST`TABLE_TYPE_DEFAULT`Importance.LOW`TABLE_TYPE_DOC`CONNECTOR_GROUP`++orderInGroup`Width.MEDIUM`TABLE_TYPE_DISPLAY).define(POLL_INTERVAL_MS_CONFIG`Type.INT`POLL_INTERVAL_MS_DEFAULT`Importance.HIGH`POLL_INTERVAL_MS_DOC`CONNECTOR_GROUP`++orderInGroup`Width.SHORT`POLL_INTERVAL_MS_DISPLAY).define(BATCH_MAX_ROWS_CONFIG`Type.INT`BATCH_MAX_ROWS_DEFAULT`Importance.LOW`BATCH_MAX_ROWS_DOC`CONNECTOR_GROUP`++orderInGroup`Width.SHORT`BATCH_MAX_ROWS_DISPLAY).define(TABLE_POLL_INTERVAL_MS_CONFIG`Type.LONG`TABLE_POLL_INTERVAL_MS_DEFAULT`Importance.LOW`TABLE_POLL_INTERVAL_MS_DOC`CONNECTOR_GROUP`++orderInGroup`Width.SHORT`TABLE_POLL_INTERVAL_MS_DISPLAY).define(TOPIC_PREFIX_CONFIG`Type.STRING`Importance.HIGH`TOPIC_PREFIX_DOC`CONNECTOR_GROUP`++orderInGroup`Width.MEDIUM`TOPIC_PREFIX_DISPLAY).define(TIMESTAMP_DELAY_INTERVAL_MS_CONFIG`Type.LONG`TIMESTAMP_DELAY_INTERVAL_MS_DEFAULT`Importance.HIGH`TIMESTAMP_DELAY_INTERVAL_MS_DOC`CONNECTOR_GROUP`++orderInGroup`Width.MEDIUM`TIMESTAMP_DELAY_INTERVAL_MS_DISPLAY);" is 1038.,483
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,JdbcSourceConnectorConfig,Long Identifier,The length of the field NUMERIC_PRECISION_MAPPING_CONFIG is 32.,549
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,JdbcSourceConnectorConfig,Long Statement,The length of the statement "LOG.warn("Option {} is deprecated and may be removed in future versions. " + "Please use {} instead (see the documentation)."`NUMERIC_PRECISION_MAPPING_CONFIG`NUMERIC_MAPPING_CONFIG);" is 183.,549
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,get,Long Identifier,The length of the field NUMERIC_PRECISION_MAPPING_CONFIG is 32.,709
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,BulkTableQuerier,createPreparedStatement,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4bb992f3,52
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,BulkTableQuerier,extractRecord,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@16c354e3,75
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,BulkTableQuerier,toString,Long Statement,The length of the statement "return "BulkTableQuerier{" + "table='" + tableId + '\''+ "` query='"+ query+ '\''+ "` topicPrefix='"+ topicPrefix+ '\''+ '}';" is 125.,108
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingOffset,toMap,Magic Number,The method contains a magic number: 3,54
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingOffset,equals,Long Statement,The length of the statement "if (incrementingOffset != null ? !incrementingOffset.equals(that.incrementingOffset) : that.incrementingOffset != null) {" is 121.,86
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingOffset,hashCode,Magic Number,The method contains a magic number: 31,108
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,TableMonitorThread,Long Parameter List,The method has 7 parameters. ,61
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,tables,Empty catch clause,The method has an empty catch block.,105
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,tables,Long Statement,The length of the statement "configText="'" + JdbcSourceConnectorConfig.TABLE_WHITELIST_CONFIG + "' or '"+ JdbcSourceConnectorConfig.TABLE_BLACKLIST_CONFIG+ "'";" is 132.,105
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,tables,Long Statement,The length of the statement "final String msg="The connector uses the unqualified table name as the topic name and has " + "detected duplicate unqualified table names. This could lead to mixed data types in " + "the topic and downstream processing errors. To prevent such processing errors` the "+ "JDBC Source connector fails to start when it detects duplicate table name "+ "configurations. Update the connector's " + configText + " config to include exactly "+ "one table in each of the tables listed below or` to use unqualified table names` consider "+ "setting "+ TABLE_NAMES_QUALIFY_CONFIG+ " to 'false'.\n\t";" is 588.,105
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,tables,Magic Number,The method contains a magic number: 10000L,105
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,updateTables,Complex Conditional,The conditional expression whitelist.contains(fqn1) || whitelist.contains(fqn2) || whitelist.contains(table.tableName()) is complex.,148
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,updateTables,Complex Conditional,The conditional expression !(blacklist.contains(fqn1) || blacklist.contains(fqn2) || blacklist.contains(table.tableName())) is complex.,148
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,updateTables,Complex Method,Cyclomatic complexity of the method is 10,148
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,updateTables,Long Statement,The length of the statement "this.duplicates=newTables.stream().collect(Collectors.groupingBy(TableId::tableName)).entrySet().stream().filter(entry -> entry.getValue().size() > 1).collect(Collectors.toMap(Map.Entry::getKey`Map.Entry::getValue));" is 216.,148
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldGenerateNormalizedTableNameForTopic,Long Statement,The length of the statement "assertThat(jdbcDbWriter.generateTableNameFor("this.is.topic.with.dots")).isEqualTo("kafka_topic_this_is_topic_with_dots");" is 122.,79
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,shouldGenerateNormalizedTableNameForTopic,Long Statement,The length of the statement "assertThat(jdbcDbWriter.generateTableNameFor("this.is.topic.with.dots.and.weired.characters#$%")).isEqualTo("kafka_topic_this_is_topic_with_dots_and_weired_characters___");" is 172.,79
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Schema valueSchema1=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).build();" is 130.,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Schema valueSchema2=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).field("year"`Schema.OPTIONAL_INT32_SCHEMA).field("review"`SchemaBuilder.string().defaultValue("").build());" is 229.,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Long Statement,The length of the statement "final Struct valueStruct2=new Struct(valueSchema2).put("author"`"Tom Robbins").put("title"`"Fierce Invalids").put("year"`2016);" is 127.,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Magic Number,The method contains a magic number: 2016,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,autoCreateWithAutoEvolve,Magic Number,The method contains a magic number: 2L,138
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithKafkaPkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.KAFKA`"")).isInstanceOf(SQLException.class);" is 174.,193
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordKeyPkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_KEY`"")).isInstanceOf(SQLException.class);" is 179.,206
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,multiInsertWithRecordValuePkFailsDueToUniqueConstraint,Long Statement,The length of the statement "assertThatThrownBy(() -> writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.INSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`"author`title")).isInstanceOf(SQLException.class);" is 193.,219
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,idempotentUpsertWithRecordValuePk,Long Statement,The length of the statement "writeSameRecordTwiceExpectingSingleUpdate(JdbcSinkConfig.InsertMode.UPSERT`JdbcSinkConfig.PrimaryKeyMode.RECORD_VALUE`"author`title");" is 134.,226
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Long Statement,The length of the statement "final Schema valueSchema=SchemaBuilder.struct().field("author"`Schema.STRING_SCHEMA).field("title"`Schema.STRING_SCHEMA).build();" is 129.,232
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 7,232
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 42,232
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,writeSameRecordTwiceExpectingSingleUpdate,Magic Number,The method contains a magic number: 2,232
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final String createTable="CREATE TABLE " + testId + " ("+ " the_byte INTEGER`"+ " the_short INTEGER`"+ " the_int INTEGER`"+ " the_long INTEGER`"+ " the_float REAL`"+ " the_double REAL`"+ " the_bool INTEGER`"+ " the_string TEXT`"+ " the_bytes BLOB` "+ " the_decimal NUMERIC`"+ " the_date NUMERIC`"+ " the_time NUMERIC`"+ " the_timestamp NUMERIC"+ ");";" is 351.,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final Schema schema=SchemaBuilder.struct().name(testId).field("the_byte"`Schema.INT8_SCHEMA).field("the_short"`Schema.INT16_SCHEMA).field("the_int"`Schema.INT32_SCHEMA).field("the_long"`Schema.INT64_SCHEMA).field("the_float"`Schema.FLOAT32_SCHEMA).field("the_double"`Schema.FLOAT64_SCHEMA).field("the_bool"`Schema.BOOLEAN_SCHEMA).field("the_string"`Schema.STRING_SCHEMA).field("the_bytes"`Schema.BYTES_SCHEMA).field("the_decimal"`Decimal.schema(2).schema()).field("the_date"`Date.SCHEMA).field("the_time"`Time.SCHEMA).field("the_timestamp"`Timestamp.SCHEMA);" is 558.,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "final Struct struct=new Struct(schema).put("the_byte"`(byte)-32).put("the_short"`(short)1234).put("the_int"`42).put("the_long"`12425436L).put("the_float"`2356.3f).put("the_double"`-2436546.56457d).put("the_bool"`true).put("the_string"`"foo").put("the_bytes"`new byte[]{-32`124}).put("the_decimal"`new BigDecimal("1234.567")).put("the_date"`instant).put("the_time"`instant).put("the_timestamp"`instant);" is 402.,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Long Statement,The length of the statement "assertThat(rs.getTimestamp("the_timestamp")).isEqualTo(new java.sql.Timestamp(((java.util.Date)struct.get("the_time")).getTime()));" is 131.,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 1474661402123L,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 32,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 1234,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 42,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 12425436L,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2356.3f,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 2436546.56457d,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 32,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 20,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 80,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 20,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 100,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 0.01f,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,sameRecordNTimes,Magic Number,The method contains a magic number: 0.01d,274
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,SqliteHelper,deleteTable,Magic Number,The method contains a magic number: 100,71
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,correctBatching,Long Statement,The length of the statement "final Schema schemaB=SchemaBuilder.struct().field("name"`Schema.STRING_SCHEMA).field("age"`Schema.OPTIONAL_INT32_SCHEMA).build();" is 129.,70
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,correctBatching,Magic Number,The method contains a magic number: 1000,70
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,correctBatching,Magic Number,The method contains a magic number: 4,70
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testFlushSuccessNoInfo,Long Statement,The length of the statement "when(dbStructureMock.createOrAmendIfNecessary(any(JdbcSinkConfig.class)`any(Connection.class)`any(TableId.class)`any(FieldsMetadata.class))).thenReturn(true);" is 158.,114
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,testFlushSuccessNoInfo,Magic Number,The method contains a magic number: 1000,114
